CentralAfricanRepublic	Bangui
Chad	N'Djamena
Chile	santiago
China	Beijing
Colombia	Bogotá
Comoros	Moroni
CongoDemocraticRepublicofthe	Kinshasa
CongoRepublic	Brazzaville
CostaRica	SanJose
Coted'Ivoire	Yamoussoukro
Croatia	Zagreb
Cuba	Havana
Cyprus	Nicosia
CzechiaPrague
Denmark	Copenhagen
Djibouti    Djibouti(city)
Dominica	Roseau
DominicanRepublic	SantoDomingo
Afghanistan	Kabul
Albania	Tirana
Algeria	Algiers
Andorra	AndorralaVella
Angola	Luanda
Australia   Canberra
Austria	Vienna
Azerbaijan	Baku
Bahamas	Nassau
Bahrain	Manama
Bangladeh	Dhaka
Barbados	Bridgetown
Belarus	Minsk
Belgium	Brussels
Belize	Belmopan
Benin	Porto-Novo
Bhutan	Thimphu
Bolivia	Sucre(dejure)
LaPaz   seat of government
Bosniaand Herzegovina	Sarajevo
Botswana	Gaborone
Brazil	Brasilia
Brunei	BandarSeriBegawan
Bulgaria	Sofia
Burkina	FasoOuagadougou
Burundi	Gitega
CaboVerde	Praia
Cambodia	PhnomPenh
Cameroon	Yaounde
Canada	Ottawa
Finland Helsinki
Sweden  Stockholm
